"","Df","SumOfSqs","R2","F","Pr(>F)"
"area",1,0.977,0.027,2.89,0.006
"weight_kg",1,0.737,0.02,2.179,0.022
"age",1,0.256,0.007,0.758,0.692
"sex",1,0.405,0.011,1.197,0.247
"season",2,0.655,0.018,0.968,0.482
"year",2,0.592,0.016,0.875,0.619
"Diet_Species_richness",1,0.42,0.012,1.241,0.233
"BacM_Species_richness",1,0.527,0.015,1.559,0.096
"FunM_Species_richness",1,0.602,0.017,1.781,0.046
"Residual",90,30.438,0.838,NA,NA
"Total",101,36.326,1,NA,NA
