"","Df","SumOfSqs","R2","F","Pr(>F)"
"area",1,0.648,0.012,1.69,0.05
"weight_kg",1,0.46,0.008,1.198,0.236
"age",1,0.542,0.01,1.412,0.123
"sex",1,0.314,0.006,0.82,0.674
"season",2,1.057,0.019,1.378,0.084
"condition",1,0.418,0.008,1.09,0.309
"DNAng.ul",1,0.594,0.011,1.549,0.075
"DNA260.230",1,0.289,0.005,0.754,0.736
"DNA260.280",1,0.41,0.007,1.07,0.373
"Residual",128,49.103,0.895,NA,NA
"Total",138,54.874,1,NA,NA
