Sample ID,User ID,Date ,Time ,ng/ul ,A260 ,A280 ,260/280 ,260/230 ,Constant ,Cursor Pos.,Cursor abs.,340 raw,welcher drop,,Legende
494,Default,4/23/2018,17:58,87.16,1.743,0.895,1.95,2.02,50,230,0.861,0.008,nanodrop_2,,
494,Default,4/23/2018,17:59,18.83,0.377,0.177,2.12,1.11,50,230,0.339,-0.018,nanodrop_2,,
307,Default,4/23/2018,18:00,66.75,1.335,0.693,1.93,2.15,50,230,0.622,0.002,nanodrop_2,,
470,Default,4/23/2018,18:00,71.62,1.432,0.733,1.95,1.43,50,230,0.999,-0.012,nanodrop_2,,
480,Default,4/23/2018,18:01,93.43,1.869,0.983,1.9,1.21,50,230,1.546,0.035,nanodrop_2,,
91,Default,4/13/2018,10:10,41.6,0.832,0.48,1.73,1.02,50,230,0.814,0.394,nanodrop_1,,
91,Default,4/13/2018,10:11,40.44,0.809,0.429,1.89,1.01,50,230,0.8,0.033,nanodrop_1,,
504,Default,4/13/2018,10:12,214.18,4.284,2.266,1.89,1.97,50,230,2.177,0.049,nanodrop_1,,
531,Default,4/13/2018,10:14,175.77,3.515,1.87,1.88,1.74,50,230,2.019,0.103,nanodrop_1,,
75,Default,4/13/2018,10:15,249.68,4.994,2.649,1.89,2.11,50,230,2.364,0.05,nanodrop_1,,
194,Default,4/13/2018,10:16,99.02,1.98,1.059,1.87,2.03,50,230,0.978,0.054,nanodrop_1,,
250,Default,4/13/2018,10:17,131.17,2.623,1.414,1.86,1.21,50,230,2.159,0.046,nanodrop_1,,
245,Default,4/13/2018,10:18,298.05,5.961,3.169,1.88,2.23,50,230,2.67,0.128,nanodrop_1,,
66,Default,4/13/2018,10:19,70.05,1.401,0.839,1.67,0.96,50,230,1.458,0.296,nanodrop_1,,
509,Default,4/13/2018,10:20,51.04,1.021,0.564,1.81,1.12,50,230,0.914,0.355,nanodrop_1,,
509,Default,4/13/2018,10:21,54.95,1.099,0.594,1.85,1.12,50,230,0.985,0.058,nanodrop_1,,
96,Default,4/13/2018,10:22,158.51,3.17,1.661,1.91,1.91,50,230,1.656,0.093,nanodrop_1,,
528,Default,4/13/2018,10:23,159.77,3.195,1.704,1.88,1.56,50,230,2.044,0.053,nanodrop_1,,
374,Default,4/13/2018,10:24,67.16,1.343,0.758,1.77,1.29,50,230,1.041,0.082,nanodrop_1,,
223,Default,4/13/2018,10:25,67.77,1.355,0.727,1.86,1.64,50,230,0.826,0.153,nanodrop_1,,
111,Default,4/13/2018,10:26,229.95,4.599,2.433,1.89,1.66,50,230,2.772,0.046,nanodrop_1,,
132,Default,4/13/2018,10:26,153.43,3.069,1.63,1.88,2.23,50,230,1.376,0.056,nanodrop_1,,
92,Default,4/13/2018,10:27,41.15,0.823,0.455,1.81,1.52,50,230,0.543,0.023,nanodrop_1,,
97,Default,4/13/2018,10:28,61.31,1.226,0.686,1.79,0.87,50,230,1.414,0.065,nanodrop_1,,
32,Default,4/13/2018,10:29,107.72,2.154,1.166,1.85,1.47,50,230,1.466,0.023,nanodrop_1,,
505,Default,4/13/2018,10:30,150.72,3.014,1.593,1.89,1.6,50,230,1.881,0.031,nanodrop_1,,
