IZW ID,LLBB ID,date_found,location_lat,location_long,location_qual,area,condition,sex (m/f),age (j/a), weight (kg) ,instestil,muscle,hair,vibrisses,anthropogenic food,food comment,origin,date_dissect,species,location comment
421,17-51218-UTF 1869,18/09/2017,52.545904 ,13.332349,1,Berlin,autolytic,female,adult, 5.80    ,yes,yes,yes,yes,yes,"white, pulpy, with white plastic",BA Mitte  R01,19/09/2017 10:21,Rotfuchs,"Fundort: Transvaalstr./ Donaugestell, 13351 BerlinVorgangsnummer: 170918-2158-033803 Pol.A 35"
422,17-51218-UTF 1870,18/09/2017,52.513668 ,13.338041,2,Berlin,NA,male,juvenil, 4.40    ,yes,yes,yes,yes,no,"white, corny, with herbal matter",BA Mitte  R01,19/09/2017 10:21,Rotfuchs,"Fundort: Bremer Weg ggü. Klopstocksw., 10785 BerlinVorgangsnummer: AF 170918-1440-217029 Pol.A 34"
423,17-51218-UTF 1872,19/09/2017,52.425884,13.451427,1,Berlin,autolytic,female,adult, 3.80    ,yes,yes,yes,yes,no,empty,BA Neukölln  R 08,19/09/2017 10:21,Rotfuchs,"Fundort: Wermuthweg 34, 12353 BerlinVorgangsnummer: 170917-1000-022511 Pol.A 56"
424,17-51218-UTF 1893,NA,NA,NA,NA,Brandenburg,autolytic,male,adult, 3.40    ,yes,yes,yy,yes,no,dark red liquid,VLÜA Oder-Spree,21/09/2017,Rotfuchs,NA
425,17-51218-UTF 1894,21/09/2017,52.527793,13.228279,1,Berlin,excellent,male,juvenil, 5.80    ,yes,yes,yes,yes,no,empty,BA Spandau   R05,22/09/2017 10:08,Rotfuchs,"Fundort: Charlottenburger Chaussee 67, 13597 BerlinPolizei A 21Vorgangsnummer: 170921-2030-021858"
426,17-51218-UTF 1896,21/09/2017,52.513058,13.545985,1,Berlin,excellent,female,adult, 5.30    ,yes,yes,yes,yes,no,empty,BA Marzahn-Hellersdorf   R10,22/09/2017 10:12,Rotfuchs,"Fundort: Waldbacher Weg neb. 56, 12683 Berlin"
427,17-51218-UTF 1902,22/09/2017,52.532893,13.397836,1,Berlin,excellent,male,adult, 4.60    ,yes,yes,yes,yes,no,empty,BA Mitte  R01,25/09/2017 10:02,Rotfuchs,"Fundort: Elisabethkirchstraße 1, 10115 BerlinPolizei A 31Vorgangsnummer: 170922-1700-281772"
428,17-51218-UTF 1919,23/09/2017,52.62706,13.271346,1,Berlin,autolytic,male,juvenil, 5.40    ,yes,yes,yes,yes,NA,"beige mash, mammal",BA Reinickendorf  R12,26/09/2017 10:03,Rotfuchs,"Fundort: Karmeliterweg 97, 13465 Berlin"
429,17-51218-UTF 1938,28/09/2017,52.427757 ,13.519621,2,Berlin,excellent,male,juvenil, 6.40    ,yes,yes,yes,yes,NA,"beige mash, mammal, feathers",BA Treptow-Köpenick   R09,28/09/2017 10:22,Rotfuchs,"Fundort: BAB 113 Ausfahrt Adlershof, 12489 Berlin- TreptowPolizei A 65Vorgangsnummer: 2809170054 AO"
430,17-51218-UTF 1939,NA,52.507096,13.485827,1,Berlin,excellent,male,adult, 5.50    ,yes,yes,yes,yes,yes,"beige mash, sausage",BA Lichtenberg   R11,28/09/2017 10:22,Rotfuchs,"Fundort: Buchberger Straße 30, 10365 Berlin Polizei A 64"
431,17-51218-UTF 1952,01/10/2017,52.60748 ,13.26052,3,Berlin,excellent,female,adult, 6.10    ,yes,yes,yes,yes,no,empty,BA Reinickendorf  R12,02/10/2017 08:49,Rotfuchs,"Fundort: Ruppiner Chaussee, 13505 BerlinPolizei A 11Vorgangsnummer: 171001-0930-225177"
432,17-51218-UTF 1958,02/10/2017,52.509313 ,13.622843,1,Berlin,excellent,female,adult, 5.30    ,yes,yes,yes,yes,no,herbal matter,BA Marzahn-Hellersdorf   R10,04/10/2017 10:06,Rotfuchs,Fundort: Landvogtstraße / Landsberger StraßePolizei A 63Vorgangsnummer: 171002-1345-038701
433,17-51218-UTF 1978,05/10/2017,52.52197,13.172224,1,Berlin,excellent,male,adult, 6.20    ,yes,yes,yes,yes,yes,dry food (for cats/dogs),BA Spandau   R05,05/10/2017 10:16,Rotfuchs,"Fundort: Leubnitzer Weg 13, 13593 BerlinAF 171005-0900-036731 Pol.A 23"
434,17-51218-UTF 1991,NA,NA,NA,NA,Brandenburg,excellent,male,juvenil, 4.80    ,yes,yes,yes,yes,no,mouses,VLÜA Prignitz,10/10/2017,Rotfuchs,NA
435,17-51218-UTF 1993,NA,NA,NA,NA,Brandenburg,excellent,female,adult, 5.30    ,yes,yes,yes,yes,no,"mixed, especially fur of hoofed game",VLÜA Potsdam-Mittelmark,10/10/2017,Rotfuchs,NA
436,17-51218-UTF 1994,07/10/2017,52.571451,13.495054,1,Berlin,excellent,male,adult, 3.60    ,yes,yes,yes,yes,no,empty,BA Lichtenberg   R11,10/10/2017 09:43,Rotfuchs,"Fundort: Zingster Str. 51, 13051 BerlinVorgangsnummer: 171007-1215-031385 Pol.A 61"
437,17-51218-UTF 1998,11/10/2017,52.548279 ,13.301439,1,Berlin,excellent,male,adult, 5.50    ,yes,yes,yes,yes,no,herbal matter,BA Charlottenburg-Wilmersdf. R04,11/10/2017 09:38,Rotfuchs,"Fundort: Saatwinkler Damm, Höhe General Brücke, 13627 BerlinPol.A 22"
438,17-51218-UTF 1999,11/10/2017,52.522339,13.541326,1,Berlin,excellent,female,adult, 5.30    ,yes,yes,yes,yes,no,rodent (light brown fur),BA Marzahn-Hellersdorf   R10,11/10/2017 09:38,Rotfuchs,"Fundort: Märkische Allee 62, 12681 Berlin"
439,17-51218-UTF 2000,10/10/2017,52.528872 ,13.200749,4,Berlin,autolytic,male,adult, 7.10    ,yes,yes,yes,yes,no,mouse,BA Spandau   R05,11/10/2017 09:38,Rotfuchs,"Fundort: Untere Havel- Wasserstraße (Höhe Ziegelhof), 13581 BerlinVorgangsnummer: 171010-1730-036298 Pol.Dir E WSP West"
440,17-51218-UTF 2018,NA,NA,NA,NA,Brandenburg,autolytic,male,juvenil, 2.70    ,yes,yes,yes,yes,no,empty,VLÜA Oder-Spree,17/10/2017,Rotfuchs,NA
441,17-51218-UTF 2019,NA,NA,NA,NA,Brandenburg,autolytic,male,adult, 3.50    ,yes,yes,yes,yes,no,empty,VLÜA Oder-Spree,17/10/2017,Rotfuchs,NA
442,17-51218-UTF 2014,13/10/2017,52.40129,13.384765,1,Berlin,autolytic,male,adult, 5.30    ,yes,yes,yes,yes,NA,"beige mash, bone pieces, apple",BA Tempelhof-Schöneberg   R07,16/10/2017 09:46,Rotfuchs,"Fundort: Motzener Str. 35, 12277 BerlinVorgangsnummer: 171013-0730-225301 Pol.A 47"
443,17-51218-UTF 2015,14/10/2017,52.596391,13.361524,1,Berlin,excellent,male,adult, 6.90    ,yes,yes,yes,yes,no,feathers,BA Reinickendorf  R12,16/10/2017 09:50,Rotfuchs,"Fundort: Wilhelmsruher Damm 99, 13439 BerlinVorgangsnummer: 171014-0700-070063 Pol.A 12"
444,17-51218-UTF 2046,18/10/2017,52.426292,13.331601,2,Berlin,excellent,male,adult, 6.20    ,yes,yes,yes,yes,yes,"corny mash, transparent film",BA Steglitz-Zehlendorf   R06,18/10/2017 10:03,Rotfuchs,"Fundort: Lorenzstraße, 12209 BerlinVorgangsnummer: 171018-0730-243557 Pol.A 46"
445,17-51218-UTF 2051,19/10/2017,52.608338 ,13.348464,3,Berlin,excellent,female,adult, 4.40    ,yes,yes,yes,yes,no,empty,BA Reinickendorf  R12,19/10/2017 09:59,Rotfuchs,"Fundort: Gartenkolonie Waldesfrieden, Kühneweg 27B, 13469 Berlin Lübars"
446,17-51218-UTF 2052,18/10/2017,52.586233,13.341907,1,Berlin,excellent,male,adult, 7.60    ,yes,yes,yes,yes,NA,beige mash with bone pieces,BA Reinickendorf  R12,19/10/2017 09:59,Rotfuchs,"Fundort: Roedernallee 49-50, 13437 BerlinVorgangsnummer: 171018-2215-295479 Pol.A 12"
447,17-51218-UTF 2062,24/10/2017,52.606837,13.363506,1,Berlin,excellent,female,adult, 6.00    ,yes,yes,yes,yes,yes,dog/cat food,BA Reinickendorf  R12,24/10/2017 10:08,Rotfuchs,"Fundort: Quickborner Straße 158, Ecke Alter Bernauer Heerweg, 13469 Berlin"
448,17-51218-UTF 2063,24/10/2017,52.419526 ,13.398331,1,Berlin,excellent,male,juvenil, 5.80    ,yes,yes,yes,yes,no,empty,BA Tempelhof-Schöneberg   R07,24/10/2017 10:08,Rotfuchs,"Fundort: Mariendorfer Damm/ Ankogelweg, 12107 Berlin/ MariendorfPolizei A 47Vorgangsnummer: 171024-0645-316941"
449,17-51218-UTF 2053,NA,NA,NA,NA,Brandenburg,excellent,male,adult, 7.30    ,yes,yes,yes,yes,no,"moues, herbal matter",VLÜA Oberspreew.-Lausitz,23/10/2017,Rotfuchs,NA
450,17-51218-UTF 2077,30/10/2017,52.54067 ,13.45161,1,Berlin,excellent,female,adult, 3.40    ,yes,yes,yes,yes,no,fur,BA Pankow   R03,30/10/2017 10:00,Rotfuchs,Fundort: Hanns- Eisler- Straße 72Polizei A 16Vorgangsnummer: 171030-1200-028866
451,17-51218-UTF 2079,28/10/2017,52.472259,13.347992,2,Berlin,excellent,female,adult, 6.30    ,yes,yes,yes,yes,NA,"white-greyish, pieces",BA Tempelhof-Schöneberg   R07,30/10/2017 10:00,Rotfuchs,"Fundort: BAB 103, Ausfahrt Grazer DammPolizei A 42Vorgangsnummer: A42/281017/1855/ST O"
452,17-51218-UTF 2080,31/10/2017,52.552187 ,13.308557,3,Berlin,excellent,male,adult, 4.30    ,yes,yes,yes,yes,no,empty,BA Mitte  R01,01/11/2017 08:44,Rotfuchs,"Fundort: Allee du Stade, 13405 BerlinPolizei DIR E 15, EHUVorgangsnummer: 171031-1520-231152"
453,17-51218-UTF 2081,31/10/2017,52.544027,13.324629,1,Berlin,excellent,male,adult, 4.80    ,yes,yes,yes,yes,yes,salami,BA Mitte  R01,01/11/2017 08:50,Rotfuchs,"Fundort: Nordufer 33, 13351 Berlin/ Wedding, Polizei A 35Vorgangsnummer: 171031-1600-021108"
454,17-51218-UTF 2100,03/11/2017,52.498749 ,13.414202,1,Berlin,excellent,male,adult, 6.20    ,yes,yes,yes,yes,no,rat,BA Friedrichshain-Kreuzberg,06/11/2017 09:53,Rotfuchs,"Fundort: Wassertorplatz/ Erkelenzdamm, 10999 BerlinVorgangsnummer: 171103-2300-274873 Pol.A 53"
455,17-51218-UTF 2102,03/11/2017,52.535458,13.538935,1,Berlin,excellent,female,adult, 4.50    ,yes,yes,yes,yes,no,empty,BA Marzahn-Hellersdorf   R10,06/11/2017 10:03,Rotfuchs,"Fundort: Märkische Allee 174, 12681 BerlinVorgangsnummer: 171103-2015-308966 Pol.A 62"
456,17-51218-UTF 2112,08/11/2017,52.550173,13.150801,1,Berlin,excellent,female,adult, 4.20    ,yes,yes,yes,yes,no,empty,BA Spandau   R05,08/11/2017 10:11,Rotfuchs,"Fundort: Am Hüllepfuhl 29, 13589 Berlin- SpandauPolizei A 21Vorgangsnummer: 171108-1230-034087"
457,17-51218-UTF 2113,NA,NA,NA,NA,Brandenburg,excellent,male,adult, 4.70    ,yes,yes,yes,yes,no,empty,VLÜA Uckermark,09/11/2017,Rotfuchs,NA
458,17-51218-UTF 2115,NA,NA,NA,NA,Brandenburg,autolytic,female,adult, 3.80    ,yes,yes,yes,yes,no,empty,VLÜA Ostprignitz-Ruppin,09/11/2017,Rotfuchs,NA
459,17-51218-UTF 2121,03/11/2017,52.562913,13.451101,1,Berlin,excellent,female,adult, 6.00    ,yes,yes,yes,yes,no,empty,BA Pankow   R03,13/11/2017 10:07,Rotfuchs,"Fundort: Rennbahnstraße 83, 13086 Berlin"
460,17-51218-UTF 2123,11/11/2017,52.534703,13.165132,1,Berlin,excellent,female,adult, 4.40    ,yes,yes,yes,yes,no,empty,BA Spandau   R05,13/11/2017 10:07,Rotfuchs,"Fundort: Prisdorferstraße 12, 13581 BerlinPolizei A 23Vorgangsnummer: 171111-0930-028622"
461,17-51218-UTF 2131,43053,52.58313 ,13.429874,1,Berlin,excellent,male,adult, 6.00    ,yes,yes,yes,yes,no,fur (probably mouse),BA Pankow   R03,"4,305,342,625",Rotfuchs,"Fundort: A 114 Abfahrt Pasewalker Straße , 13189 BerlinPolizei A 14Vorgangsnummer: 171114-0120-215499Eine Untersuchung auf Tollwut ist nicht möglich, da kein Gehirn mehr vorhanden war."
462,17-512-18-UTF 2116,NA,NA,NA,NA,Brandenburg,excellent,female,adult, 5.00    ,yes,yes,yes,yes,no,empty,VLÜA Teltow-Fläming,NA,Rotfuchs,NA
463,17-51218-UTF 2117,10/11/2017,52.523795,13.431264,1,Berlin,excellent,female,adult, 4.50    ,yes,yes,yes,yes,no,herbal matter,BA Friedrichshain-Kreuzberg,10/11/2017 08:47,Rotfuchs,"Fundort: Platz der Vereinten Nationen 1, 10249 BerlinVorgangsnummer: 171110-1230-324271"
464,17-51218-UTF 2130,14/11/2017,52.500931,13.543701,1,Berlin,excellent,female,adult, 3.20    ,yes,yes,yes,yes,no,empty,BA Marzahn-Hellersdorf   R10,14/11/2017 10:13,Rotfuchs,"Fundort: Schrodaer Straße 8, 12683 Berlin"
465,17-51218-UTF 2120,26/10/2017,52.532659,13.461339,1,Berlin,excellent,male,adult, 5.00    ,yes,yes,yes,yes,yes,"sausage casing, potato mash",BA Pankow   R03,13/11/2017 10:07,Rotfuchs,"Fundort: Maiglöckchenstraße ggü 36, 10407 Berlin"
466,17-51218-UTF 2122,10/11/2017,52.500659,13.462993,1,Berlin,excellent,female,adult, 6.40    ,yes,yes,yes,yes,no,gras,BA Friedrichshain-Kreuzberg,13/11/2017 10:07,Rotfuchs,"Fundort: Persiusstraße 7 A, 10245 BerlinPolizei A 51Vorgangsnummer: 171110-1530-268971"
467,17-51218-UTF 2124,13/11/2017,52.527867,13.5726,3,Berlin,autolytic,male,juvenil, 3.30    ,yes,yes,yes,yes,no,empty,BA Marzahn-Hellersdorf   R10,13/11/2017 10:07,Rotfuchs,Fundort: Cecilienstraße Polizei A 62
468,17-51218-UTF 2137,17/11/2017,52.537397,13.513142,1,Berlin,excellent,female,adult, 4.90    ,yes,yes,yes,yes,no,empty,BA Lichtenberg   R11,05/01/2016 10:16,Rotfuchs,"Fundort: Ferdinand-Schultze-Str. 24, 13055 BerlinVorgangsnummer: 160101-1200-274277 Pol.A 61"
469,17-51218-UTF 2138,18/11/2017,52.572721,13.520569,1,Berlin,excellent,female,adult, 5.80    ,yes,yes,yes,yes,no,vegetal with bone fragments,BA Lichtenberg   R11,05/01/2016 10:16,Rotfuchs,"Fundort: Dorfstr. 16, 13059 Berlin/ WartenbergVorgangsnummer: 160105-0115-038510 Pol.A 61"
470,17-51218-UTF 2139,19/11/2017,52.43849,13.503185,2,Berlin,excellent,male,adult, 7.10    ,yes,yes,yes,yes,yes,especially bread,BA Treptow-Köpenick   R09,06/01/2016 09:37,Rotfuchs,"Fundort: Sportanlage Sterndamm 241, 12487 Berlin"
471,17-51218-UTF  2147,20/11/2017,51.442307,13.853739,4,Brandenburg,excellent,male,adult, 5.10    ,yes,yes,yes,yes,no,empty,VLÜA Oberspreew.-Lausitz,NA,Rotfuchs,16818 Wuthenow
472,17-51218-UTF  2149,22/11/2017,52.663617,13.638481,4,Brandenburg,excellent,male,adult, 4.20    ,yes,yes,yes,yes,NA,"mixed, beige",VLÜA Barnim,NA,Rotfuchs,16321 Börnicke
473,17-51218-UTF  2150,17/11/2017,51.858467,14.41104,4,Brandenburg,excellent,female,adult, 4.60    ,yes,yes,yes,yes,yes,corn,VLÜA Uckermark,NA,Rotfuchs,3185 Peitz
474,17-51218-UTF 2153,NA,52.545671,13.194445,1,Berlin,excellent,male,adult, 6.20    ,yes,yes,yes,yes,no,empty,BA Spandau   R05,27/11/2017 10:18,Rotfuchs,"Fundort: Falkenseer Chaussee Ecke Ackerstraße, 13585 BerlinPolizei A 21"
475,17-51218-UTF 2155,27/11/2017,52.482525,13.557716,1,Berlin,excellent,female,adult, 3.10    ,yes,yes,yes,yes,no,empty,BA Marzahn-Hellersdorf   R10,27/11/2017 10:28,Rotfuchs,"Fundort: Geraldstraße 2, 12683 BerlinPolizei A 62Vorgangsnummer: 171127-1240-069927"
476,17-51218-UTF 2152,26/11/2017,52.474301,13.361156,3,Berlin,excellent,male,adult, 6.40    ,yes,yes,yes,yes,no,mouse fur,BA Tempelhof-Schöneberg   R07,27/11/2017 10:02,Rotfuchs,Fundort: A 100 AK Schöneberg > W L 5002wPolizei A 42Vorgangsnummer: Dir E BVkD VSD 1- 171126-0300-022322
477,17-51218-UTF 2158,27/11/2017,52.56553,13.38891,1,Berlin,excellent,female,adult, 3.60    ,yes,yes,yes,yes,no,empty,BA Mitte  R01,29/11/2017 10:00,Rotfuchs,"Fundort: Kattegastraße 26, 13359 Berlin, Schule"
478,17-51218-UTF  2159,29/11/2017,52.106747,14.643736,4,Brandenburg,excellent,male,adult, 6.00    ,yes,yes,yes,yes,no,boar bristles,VLÜA Oberspreew.-Lausitz,NA,Rotfuchs,15898 Lawitz
479,17-51218-UTF 2160,03/12/2017,52.423292,13.314425,1,Berlin,excellent,female,adult, 5.30    ,yes,yes,yes,yes,yes,pieces of pepper,BA Steglitz-Zehlendorf   R06,04/12/2017 09:31,Rotfuchs,"Fundort: Ostpreußendamm 140, 12207 BerlinVorgangsnummer: 171203-1230-038320 Pol.A 46"
480,17-51218-UTF 2162,03/12/2017,52.504292,13.373427,1,Berlin,excellent,male,adult, 5.60    ,yes,yes,yes,yes,yes,pieces of onions,BA Mitte  R01,04/12/2017 09:44,Rotfuchs,"Fundort: Reichpietschufer/ Linkstraße, 10785 BerlinVorgangsnummer: 171203-1330-364570 Pol.A 53"
481,17-51218-UTF 2163,03/12/2017,52.564606,13.49947,1,Berlin,excellent,male,adult, 5.50    ,yes,yes,yes,yes,no,empty,BA Lichtenberg   R11,04/12/2017 09:54,Rotfuchs,"Fundort: Bartherstr. 20, 13051 BerlinVorgangsnummer: 171203-1050-309316 Pol.A 61"
482,17-51218-UTF 2164,04/12/2017,52.587158,13.389273,1,Berlin,excellent,male,adult, 6.70    ,yes,yes,yes,yes,NA,yellow-brown mash,BA Pankow   R03,04/12/2017 09:57,Rotfuchs,"Fundort: Friedrich-Engels-Str. 82, 13156 BerlinVorgangsnummer: 171204-0830-225344 Pol.A 13"
483,17-51218-UTF 2167,05/12/2017,52.535419,13.20545,2,Berlin,excellent,female,adult, 3.00    ,yes,yes,yes,yes,yes,"brown-beige mash, pieces of cooked potatoes, transparent plastic bag",BA Spandau   R05,05/12/2017 09:27,Rotfuchs,"Fundort: Lindenufer, 13597 BerlinPol.A 21"
484,17-51218-UTF 2169,05/12/2017,52.45146,13.463803,2,Berlin,excellent,male,adult, 6.60    ,yes,yes,yes,yes,NA,white-beige mash,BA Treptow-Köpenick   R09,05/12/2017 09:38,Rotfuchs,"Fundort: A113 hinter Johannisthaler Chaussee/ Späthstraße, 12351 BerlinPol.A 65"
485,17-51218-UTF 2161,03/12/2017,52.546124,13.572037,1,Berlin,excellent,male,adult, 6.00    ,yes,yes,yes,yes,no,prey (probably mouse),BA Marzahn-Hellersdorf   R10,04/12/2017 09:34,Rotfuchs,"Fundort: Blumenberger Damm/ Landsberger Allee, 12685 BerlinVorgangsnummer: 171203-2330-275733 Pol.A 62"
486,17-51218-UTF 2168,04/12/2017,52.52574,13.571226,2,Berlin,autolytic,male,adult, 3.90    ,yes,yes,yes,yes,no,empty,BA Marzahn-Hellersdorf   R10,05/12/2017 09:30,Rotfuchs,"Fundort: Buckower Ring, 12683 Berlin"
487,17-51218-UTF 2173,06/12/2017,52.54099,13.425127,1,Berlin,excellent,male,adult, 4.80    ,yes,yes,yes,yes,no,empty,BA Pankow   R03,06/12/2017 09:17,Rotfuchs,"Fundort: Raumerstr. 6, 10437 BerlinVorgangsnummer: 171206-0030-028978 Pol.A 15"
488,17-51218-UTF 2175,06/12/2017,52.521004,13.59775,1,Berlin,excellent,male,adult, 5.70    ,yes,yes,yes,yes,no,empty,BA Marzahn-Hellersdorf   R10,07/12/2017 09:59,Rotfuchs,"Fundort: Heinrich- Grüber- Straße 101, 12621 Berlin/ KaulsdorfPolizei A 63Vorgangsnummer: 171206-1043-020285	              171206-1800-020285"
489,17-51218-UTF  2176,07/12/2017,52.749206,13.174587,4,Brandenburg,excellent,female,adult, 4.50    ,yes,yes,yes,yes,no,empty,VLÜA Dahme-Spreewald,NA,Rotfuchs,16767 Germendorf
490,17-51218-UTF 2179,15/12/2017,52.404668,13.141737,4,Berlin,excellent,male,adult, 6.50    ,yes,yes,yes,yes,yes,"mixed, especially pieces of meat",BA Steglitz-Zehlendorf   R06,18/12/2017 10:15,Rotfuchs,"Fundort: Griebnitzseekanal,  Km 1,8 (Stölpchensee), 14109 BerlinPolizei : Dir  ZA, WSP WestVorgangsnummer: 171215-1638-023644"
491,17-51218-UTF 2184,19/12/2017,52.512966,13.590864,1,Berlin,excellent,female,adult, 3.60    ,yes,yes,yes,yes,no,empty,BA Marzahn-Hellersdorf   R10,21/12/2017 09:18,Rotfuchs,"Fundort: Bausdorfstraße 4, 12621 Berlin/ KaulsdorfPolizei A 63Vorgangsnummer: 171219-0930-021565"
492,17-51218-UTF 2186,21/12/2017,52.458461,13.414323,2,Berlin,autolytic,male,adult, 6.00    ,yes,yes,yes,yes,yes,"mixed, especially bread",BA Tempelhof-Schöneberg   R07,22/12/2017 09:02,Rotfuchs,"Fundort: Gottlieb- Dunkel Str., 12099 BerlinVorgangsnummer: 171221-2245-263445 Pol.A 44"
493,17-51218-UTF 2187,25/12/2017,52.543396,13.433619,1,Berlin,excellent,male,adult, 4.70    ,yes,yes,yes,yes,yes,sausage,BA Pankow   R03,28/12/2017 09:29,Rotfuchs,"Fundort: Grellstraße/ Preußstraße, 10409 BerlinPolizei A 16Vorgangsnummer: 171225-0645-295534"
494,17-51218-UTF 2188,26/12/2017,52.469259,13.573136,1,Berlin,excellent,male,adult, 6.10    ,yes,yes,yes,yes,no,brown mucus,BA Treptow-Köpenick   R09,28/12/2017 09:33,Rotfuchs,"Fundort: Kaulsdorfer Straße 154, 12555 BerlinPolizei A 66Vorgangsnummer: 171226-1000-027411"
495,17-51218-UTF 2189,25/12/2017,52.443841,13.287862,1,Berlin,excellent,male,adult, 7.50    ,yes,yes,yes,yes,NA,"brown mash, pieces of bones",BA Steglitz-Zehlendorf   R06,28/12/2017 09:36,Rotfuchs,"Fundort: Unter den Eichen 78, 12205 BerlinPolizei A 45Vorgangsnummer: 171225-1300-274103"
496,17-51218-UTF 2190,25/12/2017,52.567606,13.29969,1,Berlin,excellent,female,adult, 2.40    ,yes,yes,yes,yes,no,empty,BA Steglitz-Zehlendorf   R06,28/12/2017 09:36,Rotfuchs,"Fundort: Avenue  Jean Mermoz 20, 13405 BerlinPolizei A 11Vorgangsnummer: 171227-1830-021606"
497,18-51218-UTF     4,31/12/2017,52.752938,13.245759,4,Brandenburg,excellent,male,adult, 3.00    ,yes,yes,yes,yes,no,empty,VLÜA Potsdam-Mittelmark,NA,Rotfuchs,16515 Oranienburg
498,18-51218-UTF 6,29/12/2017,52.560869,13.171685,1,Berlin,excellent,female,adult, 4.70    ,yes,yes,yes,yes,no,empty,BA Spandau   R05,02/01/2018 10:16,Rotfuchs,"Fundort: Radelandstraße 131, 13589 BerlinPolizei A 21Vorgangsnummer: 171229-1150-171692"
499,18-51218-UTF 7,29/12/2017,52.495441,13.551594,1,Berlin,excellent,male,adult, 5.00    ,yes,yes,yes,yes,no,empty,BA Marzahn-Hellersdorf   R10,02/01/2018 10:16,Rotfuchs,"Fundort: Arnsberger Straße 52, 12683 BerlinPolizei A 62Vorgangsnummer: 171229-1200-033171"
500,18-51218-UTF 15,03/01/2018,52.531883,13.326752,1,Berlin,excellent,female,adult, 5.50    ,yes,yes,yes,yes,no,empty,BA Mitte  R01,04/01/2018 10:12,Rotfuchs,"Fundort: Rostocker Straße 25, 10553 Berlin"
501,18-51218-UTF    10,29/12/2017,52.405961,12.513016,4,Brandenburg,excellent,male,adult, 7.00    ,yes,yes,yes,yes,no,mouse pieces,VLÜA Märkisch-Oderland,NA,Rotfuchs,14770 Brandenburg an der Havel
502,18-51218-UTF 18,05/01/2018,52.638441,13.265791,1,Berlin,excellent,male,adult, 4.30    ,yes,yes,yes,yes,no,empty,BA Reinickendorf  R12,05/01/2018 10:06,Rotfuchs,"Fundort: Hainbuchenstraße 10 D, 13465 BerlinVorgangsnummer: 2181268253über SECANIM"
503,18-51218-UTF 19,05/01/2018,52.507488,13.354465,1,Berlin,excellent,male,adult, 7.50    ,yes,yes,yes,yes,no,herbal matter,BA Mitte  R01,05/01/2018 10:06,Rotfuchs,"Fundort: Köbisstraße 1, 10785 BerlinPolizei A 34Vorgangsnummer: 180105-1130-020264"
504,18-51218-UTF 20,05/01/2018,52.431401,13.376315,1,Berlin,excellent,female,adult, 5.50    ,yes,yes,yes,yes,no,herbal matter,BA Tempelhof-Schöneberg   R07,08/01/2018 10:19,Rotfuchs,"Fundort: Großbeerenstraße 132, 12107 BerlinPolizei A 44Vorgangsnummer: 180105-1800-302888"
505,18-51218-UTF 21,05/01/2018,52.58378,13.522542,1,Berlin,excellent,female,adult, 6.30    ,yes,yes,yes,yes,no,empty,BA Lichtenberg   R11,08/01/2018 10:26,Rotfuchs,"Fundort: Lindenberger Straße Lichtmast 40, 13059 BerlinPolizei A 61Vorgangsnummer: 61/050118/2330/AO"
506,18-51218-UTF 46,05/01/2018,NA,NA,NA,Berlin,excellent,male,adult, 3.60    ,yes,yes,yes,yes,no,empty,BA Treptow-Köpenick   R09,12/01/2018 09:16,Rotfuchs,Wildmarkennummer: 1840263RFö 32   442
507,18-51218-UTF 47,15/01/2018,52.412543 ,13.536654,1,Berlin,excellent,male,adult, 5.40    ,yes,yes,yes,yes,no,empty,BA Treptow-Köpenick   R09,15/01/2018 09:53,Rotfuchs,"Fundort: Ortlofstraße 49, 12524 BerlinVorgangsnummer: 2181268367"
508,18-51218-UTF 48,15/01/2018,52.445421,13.23673,1,Berlin,excellent,male,adult, 3.70    ,yes,yes,yes,yes,yes,pieces of green plastic bag,BA Steglitz-Zehlendorf   R06,15/01/2018 09:58,Rotfuchs,"Fundort: Hermannstraße 7, 14163 Berlin/ ZehlendorfPolizei A 43Vorgangsnummer: 180115-1000-023580"
509,18-51218-UTF 49,14/01/2018,52.534204,13.499801,1,Berlin,excellent,male,adult, 7.10    ,yes,yes,yes,yes,no,prey (mammal),BA Lichtenberg   R11,15/01/2018 10:01,Rotfuchs,"Fundort: Siegfriedstraße/ Landsberger Allee, 10365 BerlinPolizei A 64Vorgangsnummer: 180114-1100-032101"
510,18-51218-UTF 50,13/01/2018,52.539556 ,13.326191,1,Berlin,excellent,male,adult, 5.10    ,yes,yes,yes,yes,no,prey (mammal),BA Mitte  R01,15/01/2018 10:24,Rotfuchs,"Fundort: Saatwinkler Damm 1, 13627 Berlin, Hausboot am Kolk, PlötzenseeDir E WSP Mitte   24Vorgangsnummer: 180113-1700-120652"
511,18-51218-UTF 52,12/01/2018,52.589202 ,13.540149,1,Berlin,excellent,male,adult, 5.60    ,yes,yes,yes,yes,no,empty,BA Lichtenberg   R11,15/01/2018 10:37,Rotfuchs,"Fundort: Straße 9.23, 13059 BerlinPolizei A 61Vorgangsnummer: 180112-1630-209365"
512,18-51218-UTF 64,15/01/2018,52.503353,13.61456,1,Berlin,excellent,male,adult, 3.40    ,yes,yes,yes,yes,no,empty,BA Marzahn-Hellersdorf   R10,16/01/2018 10:19,Rotfuchs,"Fundort: Hultschiner Damm 346, 12623 Berlin"
