IZW ID,LLBB ID,date_found,location_lat,location_long,location_qual,area,condition,sex (m/f),age (j/a), weight (kg) ,instestil,muscle,hair,vibrisses,anthropogenic food,food comment,origin,date_dissect,species,location comment
360,17-51218-UTF 1165,17/06/2017,52.534283 ,13.378424,1,Berlin,excellent,male,adult, 6.30    ,yes,yes,yes,yes,no,rodent fur,BA Mitte  R01,19/06/2017 09:00,Rotfuchs,"Fundort: Chausseestraße/ Schwartzkopffstraße, 10115 BerlinVorgangsnummer: 170617-1800-022421 Pol.A 31"
361,17-51218-UTF 1163,16/06/2017,52.627775,13.285559,1,Berlin,excellent,male,juvenil, 2.00    ,yes,yes,yes,yes,no,"pieces of rodents, maggots",BA Reinickendorf  R12,19/06/2017 08:53,Rotfuchs,"Fundort: Frohnauer Str. 139b, 13465 Berlin"
362,17-51218-UTF 1166,17/06/2017,52.430086,13.221264,1,Berlin,excellent,male,juvenil, 2.70    ,yes,yes,yes,yes,no,empty,BA Steglitz-Zehlendorf   R06,19/06/2017 09:05,Rotfuchs,"Fundort: Spanische Allee 10, 14129 BerlinVorgangsnummer: 170617-1800-215582 Pol.A 43"
363,17-51218-UTF 1167,18/06/2017,52.502492,13.613929,1,Berlin,excellent,female,juvenil, 1.60    ,yes,yes,yes,yes,no,empty,BA Marzahn-Hellersdorf   R10,19/06/2017 09:14,Rotfuchs,"Fundort: Hultschiner Damm 333, 12623 BerlinVorgangsnummer: 170618-0810-021907 Pol.A 63"
364,17-51218-UTF 1190,19/06/2017,52.502442,13.557844,1,Berlin,autolytic,male,juvenil, 2.60    ,yes,yes,yes,yes,no,"mouses, bird feathers",BA Marzahn-Hellersdorf   R10,20/06/2017 09:39,Rotfuchs,"Fundort: Schackelsterstr. 125, 12683 BerlinVorgangsnummer: 170620-0830-019160 Pol.A 62"
365,17-51218-UTF 1200,20/06/2017,52.518515,13.588924,1,Berlin,autolytic,female,adult, 2.90    ,yes,yes,yes,yes,no,empty,BA Marzahn-Hellersdorf   R10,21/06/2017 09:13,Rotfuchs,"Fundort: Hellersdorfer Str. 159, 12619 Berlin"
366,17-51218-UTF 1164,17/06/2017,52.441356 ,13.251652,1,Berlin,autolytic,female,adult, 5.00    ,yes,yes,yes,yes,no,empty,BA Steglitz-Zehlendorf   R06,19/06/2017 08:56,Rotfuchs,"Fundort: Plüschowstraße/ Sven- Hedin Str., 14163 BerlinVorgangsnummer: 170617-1200-030279 Pol.A 43"
367,17-51218-UTF 1201,21/06/2017,52.492104,13.306683,1,Berlin,excellent,male,adult, 4.10    ,yes,yes,yes,yes,yes,"bread, sausage covers",BA Charlottenburg-Wilmersdf. R04,21/06/2017 09:13,Rotfuchs,"Fundort: Bielefelder Str. 28a, 10709 BerlinVorgangsnummer: 170621-0800-263428 Dir 2 A26"
368,NA,NA,NA,NA,NA,NA,excellent,male,adult, 2.70    ,yes,yes,yes,yes,no,empty,NA,NA,Rotfuchs,NA
369,17-51218-UTF 1228,24/06/2017,52.547171,13.233691,1,Berlin,autolytic,female,juvenil, 0.90    ,yes,yes,yes,yes,no,empty,BA Spandau   R05,26/06/2017 08:41,Rotfuchs,"Fundort: Lünette 11, 13599 Berlin- SpandauPolizei A 21Vorgangsnummer: 170624-0700-027494"
370,17-51218-UTF 1229,24/06/2017,52.448912,13.624812,1,Berlin,excellent,male,adult, 3.30    ,yes,yes,yes,yes,no,empty,BA Treptow-Köpenick   R09,26/06/2017 08:41,Rotfuchs,"Fundort: Bölschestraße 17, 12587 Berlin/ FriedrichshagenPolizei A 66Vorgangsnummer: 170624-1130-285506"
371,17-51218-UTF 1280,29/06/2017,52.540606,13.244585,1,Berlin,excellent,male,adult, 4.00    ,yes,yes,yes,yes,yes,"pepper, carrots",BA Spandau   R05,29/06/2017 10:09,Rotfuchs,"Fundort: Nonnendammallee 135, 13599 Berlin- SpandauPolizei A 21Vorgangsnummer: 170629-0250-021000"
372,16-51218-UTF 1286,27/08/2016,52.547059 ,13.575191,1,Berlin,excellent,female,juvenil, 1.30    ,yes,yes,yes,yes,no,empty,BA Marzahn-Hellersdorf   R10,29/08/2016 09:55,Rotfuchs,"Fundort: Landsberger Allee/ Prötzeler Ring, 12679 BerlinVorgangsnummer: 160827-1120-267864 Pol.A 62"
373,17-51218-UTF 1317,05/07/2017,52.559899,13.407998,1,Berlin,autolytic,female,juvenil, 2.40    ,yes,yes,yes,yes,no,empty,BA Pankow   R03,05/07/2017 09:14,Rotfuchs,"Fundort: Grundschule, Brixener Str. 40, 13187 Berlin"
374,17-51218-UTF  1320,04/07/2017,52.650328,12.379337,4,Brandenburg,autolytic,male,adult, 3.70    ,yes,yes,yes,yes,NA,"brown-beige mash, pieces of small rodents",VLÜA Havelland,NA,Rotfuchs,15938 Steinreich
375,17-51218-UTF  1321,05/07/2017,52.378682,12.883633,4,Brandenburg,excellent,female,adult, 2.60    ,yes,yes,yes,yes,no,plant fiber,VLÜA Potsdam-Mittelmark,NA,Rotfuchs,3253 Hennersdorf
376,17-51218-UTF  1323,05/07/2017,52.650328,12.379337,4,Brandenburg,excellent,female,adult, 3.00    ,yes,yes,yes,yes,no,plant fiber,VLÜA Havelland,NA,Rotfuchs,16818 Wuthenow
377,17-51218-UTF 1331,07/07/2017,52.575359 ,13.544941,3,Berlin,excellent,female,adult, 3.60    ,yes,yes,yes,yes,no,empty,BA Lichtenberg   R11,10/07/2017 09:37,Rotfuchs,Fundort: Tierheim Berlin
378,17-51218-UTF 1332,10/07/2017,52.502364,13.597518,1,Berlin,excellent,female,adult, 3.70    ,yes,yes,yes,yes,NA,"grey-brownish, lumpy",BA Marzahn-Hellersdorf   R10,10/07/2017 09:42,Rotfuchs,"Fundort: Kreuzung Am Niederfeld/ Kressenweg ,12623 Berlin /MahlsdorfPolizei: A63Vorgangsnummer: 170710-0430-339738"
379,17-51218-UTF 1344,11/07/2017,52.55659 ,13.402666,3,Berlin,excellent,male,juvenil, 2.90    ,yes,yes,yes,yes,no,empty,BA Pankow   R03,11/07/2017 09:09,Rotfuchs,"Fundort: KGA Bornholm I, Parzelle 222, 10439 BerlinVorgangsnummer: 170711-1300-310180 Dir.1 A15"
380,17-51218-UTF 1355,12/07/2017,52.57526,13.544884,1,Berlin,excellent,female,juvenil, 2.70    ,yes,yes,yes,yes,no,empty,BA Lichtenberg   R11,13/07/2017 08:58,Rotfuchs,"Fundort: Hausvaterweg 39, 13057 Berlin"
381,17-51218-UTF 1345,11/07/2017,52.439001,13.281875,1,Berlin,autolytic,male,adult, 3.60    ,yes,yes,yes,yes,no,"bones, eggshells, beige content",BA Steglitz-Zehlendorf   R06,11/07/2017 09:09,Rotfuchs,"Fundort: Dahlemer Weg/ Dahlemer Brücke, 14167 BerlinVorgangsnummer: 170711-0620-021107 Pol.A 46"
